dataset,predictor,seed,method,alarm_fraction,analysis_role,alarm_count,anomaly_prevalence,pointwise_f1_ceiling,matched_pairs,peak_smd,tail_contrast,contrast_ci_low,contrast_ci_high,regime,evidence_status,raw_f1,event_recall,mttd
SWaT,one_step,0,raw_delayed,0.05,post_review_sensitivity,22496,0.12140185233342002,0.5834251851083418,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.07648119091769649,0.8,223.39285714285714
SWaT,one_step,0,confirmation_mean,0.05,post_review_sensitivity,22496,0.12140185233342002,0.5834251851083418,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.07741483719543032,0.8,222.25
SWaT,one_step,0,ewma,0.05,post_review_sensitivity,22496,0.12140185233342002,0.5834251851083418,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.07933399898854987,0.7428571428571429,161.6153846153846
HAI,one_step,0,raw_realtime,0.005,primary,2011,0.02225594209027251,0.3670377806169009,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.21062237634604852,0.4,48.75
HAI,one_step,0,raw_delayed,0.005,primary,2011,0.02225594209027251,0.3670377806169009,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.20587698485125022,0.4,46.45
HAI,one_step,0,confirmation_mean,0.005,primary,2011,0.02225594209027251,0.3670377806169009,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.20970980105858736,0.34,50.88235294117647
HAI,one_step,0,ewma,0.005,primary,2011,0.02225594209027251,0.3670377806169009,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.2082496805986494,0.32,46.6875
HAI,one_step,0,raw_realtime,0.01,post_review_sensitivity,4021,0.02225594209027251,0.6201418877236274,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.42473781616286244,0.82,28.975609756097562
HAI,one_step,0,raw_delayed,0.01,post_review_sensitivity,4021,0.02225594209027251,0.6201418877236274,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.41995681677976565,0.82,31.70731707317073
HAI,one_step,0,confirmation_mean,0.01,post_review_sensitivity,4021,0.02225594209027251,0.6201418877236274,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.42535471930906843,0.82,29.829268292682926
HAI,one_step,0,ewma,0.01,post_review_sensitivity,4021,0.02225594209027251,0.6201418877236274,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.4242751388032079,0.76,29.710526315789473
HAI,one_step,0,raw_realtime,0.05,post_review_sensitivity,20101,0.02225594209027251,0.6160148719361057,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.44092536491324713,1.0,16.7
HAI,one_step,0,raw_delayed,0.05,post_review_sensitivity,20101,0.02225594209027251,0.6160148719361057,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.43521068576149824,1.0,14.86
HAI,one_step,0,confirmation_mean,0.05,post_review_sensitivity,20101,0.02225594209027251,0.6160148719361057,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.4403745524648857,1.0,15.02
HAI,one_step,0,ewma,0.05,post_review_sensitivity,20101,0.02225594209027251,0.6160148719361057,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary,0.4476728174056734,1.0,18.34
